"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","walk","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly"
"Wisely, Brett","689172","2023","120","131","21","14","5","0","2","40","9","0","0","1","1"
"Dickerson, Corey","572816","2023","144","152","36","26","7","1","2","28","7","0","0","0","1"
"Rivera, Emmanuel","656896","2023","257","283","67","50","13","0","4","56","22","0","0","0","4"
"Meadows, Parker","678009","2023","125","145","29","20","4","2","3","37","17","2","1","0","1"
"Judge, Aaron","592450","2023","367","458","98","45","16","0","37","130","88","0","9","0","3"
"Adams, Riley","656180","2023","143","158","39","20","13","2","4","45","11","2","0","1","1"
"Narváez, Omar","553882","2023","128","146","27","20","5","0","2","27","14","0","0","1","3"
"Story, Trevor","596115","2023","158","168","32","20","9","0","3","55","9","1","0","0","0"
"Siri, Jose","642350","2023","338","364","75","35","13","2","25","130","20","2","0","1","3"
"Jansen, Danny","643376","2023","268","301","61","29","15","0","17","62","23","10","1","0","0"
"Nimmo, Brandon","607043","2023","592","682","162","102","30","6","24","146","74","11","0","1","4"
"Vogelbach, Daniel","596129","2023","275","319","64","43","8","0","13","81","42","2","1","0","0"
"Odor, Rougned","596059","2023","138","157","28","15","9","0","4","37","17","2","0","0","0"
"Rodgers, Brendan","663898","2023","178","192","46","32","9","1","4","41","11","3","0","0","0"
"Sánchez, Gary","596142","2023","240","267","52","24","9","0","19","67","21","4","0","0","2"
"Pham, Tommy","502054","2023","426","481","109","63","27","3","16","106","47","2","1","0","6"
"Senzel, Nick","669222","2023","301","330","71","48","10","0","13","74","26","1","0","0","2"
"Belt, Brandon","474832","2023","339","404","86","44","23","0","19","141","61","2","1","0","2"
"Wendle, Joey","621563","2023","297","318","63","42","16","3","2","67","13","2","0","3","3"
"Duffy, Matt","622110","2023","191","209","48","38","8","0","2","39","12","4","0","0","2"
"Machado, Manny","592518","2023","543","601","140","89","21","0","30","109","50","2","1","0","6"
"Encarnacion-Strand, Christian","687952","2023","222","241","60","40","7","0","13","69","14","5","0","0","0"
"Madrigal, Nick","663611","2023","270","294","71","52","16","1","2","24","10","9","0","5","0"
"Laureano, Ramón","657656","2023","361","404","81","50","18","4","9","114","33","9","0","0","1"
"Volpe, Anthony","683011","2023","541","601","113","65","23","4","21","167","52","5","0","1","2"
"Chapman, Matt","656305","2023","509","581","122","64","39","2","17","165","62","8","1","0","2"
"Tellez, Rowdy","642133","2023","311","351","67","44","9","1","13","86","35","0","2","0","5"
"Verdugo, Alex","657077","2023","546","602","144","89","37","5","13","93","45","6","1","0","5"
"Rocchio, Brayan","677587","2023","81","86","20","14","6","0","0","27","4","0","0","0","1"
"Stephenson, Tyler","663886","2023","465","517","113","78","20","2","13","135","47","4","2","0","1"
"Contreras, William","661388","2023","540","611","156","100","38","1","17","126","63","5","2","1","2"
"Kirilloff, Alex","666135","2023","281","319","76","50","14","1","11","80","28","7","1","0","3"
"Haggerty, Sam","664059","2023","91","108","23","18","3","1","1","17","15","1","0","1","0"
"Duran, Ezequiel","677649","2023","406","439","112","74","22","2","14","120","23","7","1","1","2"
"Polanco, Jorge","593871","2023","302","343","77","45","18","0","14","88","36","2","0","0","3"
"Doyle, Brenton","686668","2023","399","431","81","50","16","5","10","151","22","4","0","3","3"
"Raley, Luke","670042","2023","357","406","89","44","23","3","19","128","28","18","0","1","2"
"Melendez Jr., MJ","669004","2023","533","602","125","75","29","5","16","170","62","3","2","0","4"
"Cabrera, Miguel","408234","2023","334","370","86","62","20","0","4","74","31","2","0","0","3"
"Martini, Nick","605361","2023","72","79","19","9","3","1","6","15","5","2","0","0","0"
"Perez, Salvador","521692","2023","538","580","137","93","21","0","23","135","19","13","6","0","8"
"Rengifo, Luis","650859","2023","394","445","104","69","15","4","16","82","41","6","0","0","4"
"Toglia, Michael","669911","2023","141","152","23","14","5","0","4","50","10","1","0","0","0"
"Cron, C.J.","543068","2023","258","278","64","40","12","0","12","65","17","1","0","0","2"
"Gomes, Yan","543228","2023","382","419","102","70","20","2","10","81","21","9","1","0","7"
"Anderson, Tim","641313","2023","493","524","121","100","18","2","1","122","26","3","0","0","2"
"Mervis, Matt","670223","2023","90","99","15","10","2","0","3","32","8","1","0","0","0"
"Canzone, Dominic","686527","2023","173","182","38","19","13","0","6","32","8","1","0","0","0"
"Conforto, Michael","624424","2023","406","470","97","68","14","0","15","106","53","7","4","0","4"
"Jung, Josh","673962","2023","478","515","127","78","25","1","23","151","30","5","0","0","2"
"Mateo, Jorge","622761","2023","318","350","69","46","14","2","7","82","22","1","0","5","3"
"Perkins, Blake","663368","2023","143","168","31","20","7","0","4","46","23","0","0","2","0"
"Robles, Victor","645302","2023","107","126","32","26","5","1","0","18","11","4","0","4","0"
"Springer III, George","543807","2023","613","683","158","111","25","1","21","125","60","5","1","0","3"
"Gelof, Zack","680869","2023","270","300","72","37","20","1","14","82","26","3","1","0","1"
"Kelenic, Jarred","672284","2023","372","416","94","56","25","2","11","132","41","1","4","0","2"
"Delay, Jason","641511","2023","167","187","42","29","11","1","1","44","14","3","0","2","1"
"Rutschman, Adley","668939","2023","588","687","163","111","31","1","20","101","92","2","6","0","5"
"Bryant, Kris","592178","2023","300","335","70","50","10","0","10","68","29","6","0","0","0"
"O'Hearn, Ryan","656811","2023","346","368","100","63","22","1","14","82","15","3","2","1","3"
"Dozier, Hunter","641531","2023","82","91","15","10","2","1","2","29","8","0","0","0","1"
"Arenado, Nolan","571448","2023","560","612","149","95","26","2","26","101","41","3","5","0","8"
"Chang, Yu","644374","2023","105","112","17","9","2","0","6","34","3","2","0","2","0"
"Larnach, Trevor","663616","2023","183","212","39","21","7","3","8","72","27","0","1","0","2"
"Montero, Elehuris","660707","2023","284","307","69","41","15","2","11","111","15","5","0","0","3"
"Castro, Willi","650489","2023","358","409","92","60","18","5","9","99","34","12","1","2","3"
"Bogaerts, Xander","593428","2023","596","665","170","118","31","2","19","110","56","7","0","0","6"
"Naylor, Bo","666310","2023","198","230","47","23","13","0","11","53","30","1","1","0","1"
"Taveras, Leody","665750","2023","511","554","136","88","31","3","14","117","35","1","0","3","4"
"Gordon, Nick","624503","2023","91","93","16","8","5","1","2","11","1","0","0","1","0"
"Thomas, Alek","677950","2023","374","402","86","55","17","5","9","86","19","4","1","2","3"
"Hosmer, Eric","543333","2023","94","100","22","17","3","0","2","25","6","0","0","0","0"
"Walsh, Jared","665120","2023","104","116","13","5","4","0","4","45","11","1","0","0","0"
"Brown, Seth","664913","2023","343","378","76","42","19","1","14","101","30","2","1","1","2"
"Barnes, Austin","605131","2023","178","200","32","25","5","0","2","43","17","2","0","1","2"
"Barrero, Jose","676480","2023","133","149","29","19","8","0","2","44","15","0","0","0","1"
"Giménez, Andrés","665926","2023","557","616","140","93","27","5","15","112","32","20","3","4","3"
"Bae, Ji Hwan","678225","2023","334","371","77","56","17","2","2","92","30","2","0","3","2"
"Pederson, Joc","592626","2023","358","425","84","52","14","3","15","89","57","7","6","0","3"
"Marcano, Tucupita","672779","2023","202","220","47","30","12","2","3","35","10","3","0","3","2"
"Goldschmidt, Paul","502671","2023","593","687","159","103","31","0","25","161","87","3","6","0","3"
"McGuire, Reese","624512","2023","187","206","50","36","12","1","1","53","11","1","0","2","1"
"Straw, Myles","664702","2023","462","518","110","88","18","3","1","97","42","2","0","6","6"
"Young, Jacob","696285","2023","107","121","27","19","7","1","0","22","10","1","0","3","0"
"Peña, Jeremy","665161","2023","577","634","152","107","32","3","10","129","43","9","1","1","1"
"Sabol, Blake","666165","2023","310","344","73","50","10","0","13","117","24","6","0","2","2"
"Báez, Javier","595879","2023","510","547","113","82","18","4","9","125","24","9","0","0","3"
"Urías, Ramón","602104","2023","360","396","95","66","22","3","4","101","27","8","0","0","1"
"Schwarber, Kyle","656941","2023","585","720","115","48","19","1","47","215","126","6","5","0","3"
"Benson, Will","666181","2023","287","329","79","45","15","8","11","103","40","1","0","0","1"
"Gonzalez, Romy","663853","2023","93","97","18","9","4","2","3","36","2","0","0","1","1"
"Ruiz, Keibert","660688","2023","523","562","136","94","24","0","18","58","31","6","1","0","2"
"Harrison, Josh","543281","2023","103","114","21","16","3","0","2","20","3","6","0","0","2"
"Smith, Pavin","656976","2023","191","228","36","24","5","0","7","45","35","1","0","0","0"
"Massey, Michael","686681","2023","428","461","98","64","18","1","15","99","24","4","0","1","4"
"Waters, Drew","671221","2023","302","337","69","45","11","5","8","107","27","5","0","0","3"
"Harris II, Michael","671739","2023","505","539","148","94","33","3","18","101","25","5","1","1","3"
"Marsh, Brandon","669016","2023","404","472","112","69","25","6","12","144","59","4","2","1","4"
"Castro, Harold","605612","2023","258","270","65","51","13","0","1","66","9","0","0","1","2"
"Mastrobuoni, Miles","670156","2023","133","149","32","26","5","0","1","32","13","0","0","3","0"
"Sheets, Gavin","657757","2023","311","344","63","43","10","0","10","66","28","1","2","0","4"
"Basabe, Osleivis","678545","2023","87","94","19","13","5","0","1","25","6","1","0","0","0"
"Wallner, Matt","670242","2023","213","254","53","27","11","1","14","80","28","13","1","0","0"
"Stallings, Jacob","607732","2023","241","276","46","29","14","0","3","67","27","3","0","3","2"
"Marte, Starling","516782","2023","315","341","78","65","7","1","5","69","16","8","1","2","0"
"Adames, Willy","642715","2023","553","638","120","65","29","2","24","165","71","6","1","0","6"
"Rodríguez, Endy","682848","2023","186","204","41","29","7","2","3","49","17","0","0","0","1"
"Thompson, Trayce","572204","2023","153","179","25","17","2","0","6","77","24","2","0","0","0"
"Stefanic, Michael","683021","2023","62","71","18","15","2","1","0","8","8","1","0","0","0"
"d'Arnaud, Travis","518595","2023","267","292","60","36","13","0","11","67","21","3","0","0","1"
"McCarthy, Jake","664983","2023","276","312","67","53","7","5","2","62","26","5","0","4","1"
"Triolo, Jared","669707","2023","181","209","54","42","9","0","3","63","24","3","0","0","1"
"Palacios, Richie","680700","2023","93","102","24","12","6","0","6","11","6","1","0","1","1"
"Estrada, Thairo","642731","2023","495","530","134","92","26","2","14","120","22","11","1","0","2"
"Grissom, Vaughn","687093","2023","75","80","21","17","3","1","0","15","2","2","0","0","1"
"Ortega, Rafael","542364","2023","114","136","25","21","3","0","1","33","20","1","0","1","0"
"Kirk, Alejandro","672386","2023","372","422","93","69","16","0","8","45","42","6","1","0","2"
"Fairchild, Stuart","656413","2023","219","255","50","27","16","2","5","69","25","6","0","3","2"
"Jankowski, Travis","608671","2023","247","287","65","51","12","1","1","42","35","2","0","1","2"
"Peralta, David","444482","2023","394","422","102","69","25","1","7","72","20","2","1","0","6"
"Kemp, Tony","643393","2023","359","419","75","54","13","3","5","40","44","6","0","7","3"
"Rogers, Jake","668670","2023","331","365","73","41","11","0","21","118","28","3","0","1","2"
"McKinney, Billy","641856","2023","128","147","29","19","3","1","6","39","17","1","1","0","1"
"Díaz, Elias","553869","2023","486","526","130","90","25","1","14","118","34","2","0","0","4"
"Gonzales, Nick","693304","2023","115","128","24","13","8","1","2","36","6","4","0","1","2"
"Allen, Nick","669397","2023","303","329","67","57","4","2","4","52","17","1","0","6","2"
"Jones, Nolan","666134","2023","367","424","109","63","22","4","20","126","53","3","3","0","1"
"Paredes, Isaac","670623","2023","492","571","123","68","24","0","31","104","58","20","0","0","1"
"Harper, Bryce","547180","2023","457","546","134","83","29","1","21","119","80","5","8","0","4"
"Wells, Austin","669224","2023","70","75","16","6","6","0","4","14","3","0","0","0","1"
"Sánchez, Jesús","660821","2023","360","402","91","51","23","3","14","107","38","2","1","1","1"
"Fortes, Nick","663743","2023","294","323","60","44","10","0","6","59","17","7","0","3","2"
"Vierling, Matt","663837","2023","479","530","125","89","21","5","10","112","44","5","1","1","1"
"Marte, Noelvi","682622","2023","114","123","36","26","7","0","3","25","8","1","0","0","0"
"Pollock, AJ","572041","2023","133","144","22","13","4","0","5","32","9","0","0","0","2"
"Stewart, DJ","621466","2023","160","185","39","19","9","0","11","56","15","7","0","1","1"
"Pache, Cristian","665506","2023","84","95","20","10","7","1","2","27","10","0","0","1","0"
"Freeman, Tyler","671289","2023","153","168","37","26","7","0","4","30","10","2","0","2","1"
"Farmer, Kyle","571657","2023","336","369","86","59","14","2","11","86","23","8","0","0","2"
"Cave, Jake","595909","2023","184","203","39","25","8","1","5","55","15","1","0","1","2"
"Bellinger, Cody","641355","2023","499","556","153","97","29","1","26","87","40","5","3","0","12"
"Suárez, Eugenio","553993","2023","598","694","139","88","29","0","22","214","70","15","0","0","11"
"Gallo, Joey","608336","2023","282","332","50","19","9","1","21","142","48","2","1","0","0"
"Franco, Wander","677551","2023","442","491","124","78","23","6","17","69","42","3","3","0","4"
"Caballero, José","676609","2023","231","280","51","37","9","1","4","66","28","17","0","0","4"
"Friedl Jr., TJ","670770","2023","488","556","136","88","22","8","18","90","47","10","1","8","3"
"Gorman, Nolan","669357","2023","406","464","96","52","17","0","27","148","53","3","1","0","2"
"Frelick, Sal","686217","2023","191","223","47","34","9","1","3","37","28","1","0","0","3"
"Casali, Curt","592200","2023","80","96","14","12","2","0","0","23","11","2","0","3","0"
"Longoria, Evan","446334","2023","211","237","47","27","9","0","11","73","23","0","0","0","3"
"Campusano, Luis","669134","2023","163","174","52","38","7","0","7","21","7","3","0","0","1"
"Tovar, Ezequiel","678662","2023","581","615","147","91","37","4","15","166","25","4","0","2","3"
"Tatis Jr., Fernando","665487","2023","575","635","148","89","33","1","25","141","53","3","0","1","3"
"Wiemer Jr., Joey","686894","2023","367","410","75","43","19","0","13","116","36","5","0","0","2"
"Soderstrom, Tyler","691016","2023","125","138","20","16","1","0","3","43","11","1","0","0","1"
"Bethancourt, Christian","542194","2023","315","332","71","44","16","0","11","91","13","0","0","1","3"
"Segura, Jean","516416","2023","301","326","66","56","5","2","3","47","22","2","1","1","0"
"Díaz, Aledmys","649557","2023","315","344","72","47","20","1","4","66","17","7","2","1","4"
"Moore, Dylan","664238","2023","145","165","30","13","9","1","7","56","16","4","0","0","0"
"Cruz Jr., Nelson","443558","2023","143","152","35","24","5","1","5","46","6","2","1","0","1"
"Fry, David","681807","2023","101","113","24","14","6","0","4","30","8","4","0","0","0"
"Andujar, Miguel","609280","2023","84","90","21","10","7","0","4","13","6","0","0","0","0"
"Rosario, Eddie","592696","2023","478","516","122","74","24","3","21","122","34","1","1","1","2"
"Hicks, Aaron","543305","2023","269","312","68","50","9","1","8","69","42","0","1","0","1"
"Garver, Mitch","641598","2023","296","344","80","50","11","0","19","82","44","3","1","0","0"
"Ahmed, Nick","605113","2023","198","210","42","29","10","1","2","52","12","0","0","0","0"
"Moniak, Mickey","666160","2023","311","323","87","50","21","2","14","113","9","3","1","0","0"
"Peraza, Oswald","672724","2023","173","191","33","23","8","0","2","50","13","5","0","0","0"
"Garrett, Stone","656448","2023","234","271","63","37","17","0","9","82","26","3","0","0","5"
"Nevin, Tyler","663527","2023","95","111","19","13","3","1","2","25","12","3","0","0","1"
"Bregman, Alex","608324","2023","622","724","163","106","28","4","25","87","92","8","1","0","2"
"Alberto, Hanser","593643","2023","82","90","18","10","5","0","3","13","4","1","0","2","1"
"Bart, Joey","663698","2023","87","95","18","13","5","0","0","23","3","4","0","0","1"
"Aguilar, Jesús","542583","2023","104","115","23","16","2","0","5","31","8","1","2","0","1"
"García, Adolis","666969","2023","555","632","136","68","29","0","39","175","65","6","0","0","6"
"McCann, James","543510","2023","207","226","46","26","14","0","6","57","9","5","0","3","2"
"India, Jonathan","663697","2023","454","529","111","71","23","0","17","109","52","16","0","0","7"
"Suzuki, Seiya","673548","2023","515","583","147","90","31","6","20","130","59","2","3","0","7"
"Slater, Austin","596103","2023","185","207","50","36","9","0","5","58","20","2","0","0","0"
"Soto, Juan","665742","2023","568","708","156","88","32","1","35","129","132","2","11","1","5"
"Isbel, Kyle","664728","2023","292","313","70","41","22","2","5","59","17","1","0","1","2"
"Acuña Jr., Ronald","660670","2023","643","735","217","137","35","4","41","84","80","9","3","0","3"
"Fletcher, Dominic","666150","2023","93","102","28","20","5","1","2","22","7","0","1","2","0"
"Burger, Jake","669394","2023","492","540","123","60","28","1","34","149","32","12","0","0","4"
"Nola, Austin","543592","2023","130","154","19","15","3","0","1","31","18","2","0","4","0"
"Edman, Tommy","669242","2023","479","528","119","77","25","4","13","84","35","7","1","3","4"
"Suwinski, Jack","669261","2023","447","534","100","51","21","2","26","172","75","6","2","0","6"
"Velazquez, Andrew","623205","2023","81","94","14","9","3","0","2","30","10","0","0","3","0"
"Jeffers, Ryan","680777","2023","286","335","79","48","15","2","14","93","33","10","1","4","2"
"Profar, Jurickson","595777","2023","459","521","111","73","27","2","9","90","50","6","0","0","5"
"Calhoun, Kole","594777","2023","157","174","34","21","7","0","6","37","13","2","0","0","2"
"Meneses, Joey","608841","2023","611","657","168","118","36","1","13","130","38","5","0","0","3"
"Yastrzemski, Mike","573262","2023","330","381","77","38","23","1","15","99","45","3","3","2","1"
"Davis, J.D.","605204","2023","480","546","119","77","23","1","18","152","52","6","0","0","6"
"Reynolds, Bryan","668804","2023","574","640","151","91","31","5","24","138","53","7","2","0","6"
"Steer, Spencer","668715","2023","582","665","158","95","37","3","23","139","68","11","0","0","4"
"Hernández, Enrique","571771","2023","465","508","110","76","23","0","11","97","34","3","1","0","6"
"Fletcher, David","664058","2023","89","97","22","19","1","0","2","9","7","0","1","1","0"
"Ford, Mike","645801","2023","219","251","50","28","6","0","16","81","24","7","0","0","1"
"Pillar, Kevin","607680","2023","197","206","45","26","10","0","9","50","6","0","0","0","3"
"Alu, Jake","666906","2023","159","175","36","31","2","1","2","42","10","3","0","1","2"
"Yelich, Christian","592885","2023","550","632","153","99","34","1","19","140","78","3","7","0","1"
"Frazier, Adam","624428","2023","412","455","99","63","21","2","13","68","32","4","0","4","2"
"Velázquez, Nelson","676369","2023","162","179","38","15","6","0","17","51","14","2","0","0","1"
"DeJong, Paul","657557","2023","372","400","77","50","13","0","14","121","21","5","0","0","2"
