"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","walk","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly"
"Kiermaier, Kevin","595281","2023","370","408","98","63","21","6","8","86","29","4","0","1","4"
"Witt Jr., Bobby","677951","2023","641","694","177","108","28","11","30","121","40","4","1","1","8"
"Crawford, Brandon","543063","2023","283","320","55","36","11","1","7","81","28","4","1","1","4"
"Kieboom, Carter","666198","2023","87","94","18","12","2","0","4","27","6","1","0","0","0"
"Castellanos, Nick","592206","2023","626","671","170","102","37","2","29","185","36","3","0","0","6"
"Moustakas, Mike","519058","2023","352","386","87","60","15","0","12","95","23","3","1","0","8"
"Duran, Jarren","680776","2023","332","362","98","54","34","2","8","90","24","3","1","0","2"
"Julks, Corey","667452","2023","298","323","73","53","14","0","6","75","22","1","0","0","2"
"Caratini, Victor","605170","2023","201","226","52","41","4","0","7","45","19","3","0","0","3"
"Thomas, Lane","657041","2023","628","682","168","101","36","3","28","176","36","11","0","0","7"
"Trevino, Jose","624431","2023","157","168","33","25","4","0","4","22","8","2","0","1","0"
"Hedges, Austin","595978","2023","185","212","34","28","5","0","1","47","11","2","0","10","3"
"Bader, Harrison","664056","2023","319","344","74","53","12","2","7","59","17","3","0","1","4"
"Zunino, Mike","572287","2023","124","140","22","12","7","0","3","61","15","1","0","0","0"
"France, Ty","664034","2023","587","665","147","103","32","0","12","117","43","34","0","0","1"
"Peguero, Liover","678894","2023","198","213","47","35","4","1","7","67","11","1","0","2","1"
"Burleson, Alec","676475","2023","315","347","77","48","20","1","8","45","23","3","0","1","2"
"Soler, Jorge","624585","2023","504","580","126","66","24","0","36","141","66","6","4","0","4"
"Rizzo, Anthony","519203","2023","373","421","91","65","14","0","12","97","35","12","1","0","1"
"Blanco, Dairon","680118","2023","124","138","32","18","7","4","3","33","10","2","0","2","0"
"Garcia, Maikel","672580","2023","464","515","126","98","20","4","4","115","38","2","0","1","10"
"Singleton, Jon","572138","2023","91","105","15","10","3","0","2","23","13","0","0","0","1"
"Canha, Mark","592192","2023","435","507","114","77","25","1","11","79","49","17","1","0","6"
"Carpenter, Matt","572761","2023","188","237","33","16","12","0","5","67","41","2","0","0","5"
"Guerrero Jr., Vladimir","665489","2023","602","682","159","103","30","0","26","100","67","9","5","0","4"
"Contreras, Willson","575929","2023","428","495","113","66","27","0","20","111","51","13","0","1","2"
"De La Cruz, Bryan","650559","2023","579","626","149","98","32","0","19","142","40","1","0","0","5"
"McKinstry, Zach","656716","2023","464","518","107","73","21","4","9","113","44","5","0","2","3"
"Ward, Taylor","621493","2023","356","409","90","58","18","0","14","80","39","8","0","0","6"
"Schmitt, Casey","669477","2023","253","277","52","32","15","0","5","65","13","5","0","3","3"
"Schanuel, Nolan","694384","2023","109","132","30","26","3","0","1","19","20","3","1","0","0"
"Taylor, Chris","621035","2023","338","384","80","49","15","1","15","125","41","4","2","0","1"
"Votto, Joey","458015","2023","208","242","42","22","6","0","14","62","27","7","0","0","0"
"Lowe, Josh","666139","2023","466","501","136","81","33","2","20","124","31","1","2","0","3"
"Hernández, Teoscar","606192","2023","625","678","161","104","29","2","26","211","38","8","2","0","7"
"McKenna, Ryan","663630","2023","122","139","31","22","7","0","2","40","9","3","0","3","2"
"Schoop, Jonathan","570731","2023","136","151","29","21","8","0","0","37","13","0","0","0","2"
"Davis, Henry","680779","2023","225","255","48","31","10","0","7","69","25","4","2","0","1"
"Biggio, Cavan","624415","2023","289","338","68","47","12","0","9","88","40","7","0","0","2"
"Barnhart, Tucker","571466","2023","109","123","22","18","3","0","1","42","12","1","0","0","1"
"Trout, Mike","545361","2023","308","362","81","48","14","1","18","104","45","7","2","0","2"
"Ruiz, Esteury","665923","2023","449","497","114","84","24","1","5","99","20","16","1","4","1"
"Heyward, Jason","518792","2023","334","377","90","52","23","0","15","64","34","3","1","0","3"
"Andrus, Elvis","462101","2023","374","406","94","67","20","1","6","71","25","4","1","1","2"
"Matos, Luis","682641","2023","228","253","57","41","13","1","2","33","20","3","0","2","0"
"McCutchen, Andrew","457705","2023","390","473","100","69","19","0","12","100","75","4","1","0","4"
"Henderson, Gunnar","683002","2023","560","622","143","77","29","9","28","159","56","3","1","0","3"
"Santana, Carlos","467793","2023","550","619","132","75","33","1","23","104","65","0","0","0","4"
"Riley, Austin","663586","2023","636","715","179","107","32","3","37","172","59","9","4","0","11"
"Knizner, Andrew","668800","2023","224","241","54","33","11","0","10","62","12","3","0","1","1"
"Ohtani, Shohei","660271","2023","497","599","151","73","26","8","44","143","91","3","21","0","3"
"Trejo, Alan","676701","2023","207","227","48","33","11","0","4","51","16","1","0","1","2"
"Villar, David","681584","2023","124","140","18","7","6","0","5","45","11","4","0","0","1"
"Wallach, Chad","595453","2023","157","172","31","18","5","1","7","57","13","0","0","2","0"
"Díaz, Yandy","650490","2023","525","600","173","116","35","0","22","94","65","8","0","0","2"
"Muncy, Max","571970","2023","482","579","102","48","17","1","36","153","85","6","4","0","6"
"Lewis, Royce","668904","2023","217","239","67","45","7","0","15","55","20","2","0","0","0"
"Alvarez, Francisco","682626","2023","382","423","80","43","12","0","25","110","34","6","0","0","1"
"Myers, Wil","571976","2023","127","141","24","18","3","0","3","48","12","0","0","1","1"
"Amaya, Miguel","665804","2023","131","156","28","19","4","0","5","40","12","11","0","1","1"
"Valdez, Enmanuel","665839","2023","139","149","37","23","8","0","6","37","8","1","0","0","0"
"Blackmon, Charlie","453568","2023","359","413","100","63","24","5","8","55","39","11","0","0","4"
"Smith, Kevin","675656","2023","135","146","25","16","4","0","5","51","5","1","0","5","0"
"Flores, Wilmer","527038","2023","405","454","115","70","22","0","23","63","41","5","1","0","3"
"Olivares, Edward","658668","2023","354","385","93","54","23","4","12","64","22","7","1","0","2"
"Taylor, Tyrone","621438","2023","231","243","54","26","17","1","10","55","8","3","0","0","1"
"Choi, Ji Man","596847","2023","104","117","17","6","5","0","6","35","10","1","0","0","2"
"Alvarez, Yordan","670541","2023","410","496","120","64","24","1","31","92","69","13","5","0","4"
"Winn, Masyn","691026","2023","122","137","21","17","2","0","2","26","10","0","0","2","3"
"Chavis, Michael","656308","2023","91","96","22","17","3","0","2","33","5","0","0","0","0"
"Maile, Luke","571912","2023","179","199","42","26","10","0","6","49","14","5","0","1","0"
"Sosa, Edmundo","624641","2023","279","300","70","43","15","2","10","74","8","9","0","2","1"
"Urshela, Gio","570482","2023","214","228","64","53","8","1","2","36","10","1","0","0","3"
"Morel, Christopher","666624","2023","388","429","96","50","17","3","26","133","36","2","0","1","2"
"Donaldson, Josh","518626","2023","165","189","25","7","5","0","13","50","22","0","0","0","2"
"Ibáñez, Andy","628451","2023","356","383","94","58","23","2","11","69","24","1","0","1","1"
"Cooper, Garrett","643265","2023","422","457","106","70","18","1","17","132","31","2","0","0","2"
"Baddoo, Akil","668731","2023","312","357","68","43","13","1","11","89","42","0","2","2","1"
"Tucker, Kyle","663656","2023","574","674","163","92","37","5","29","92","80","3","9","0","10"
"Mountcastle, Ryan","663624","2023","423","470","114","74","21","1","18","107","37","3","1","0","7"
"Jones, Jahmai","663330","2023","10","11","2","1","1","0","0","5","1","0","0","0","0"
"Tucker, Cole","657061","2023","8","10","4","4","0","0","0","2","1","1","0","0","0"
"Adrianza, Ehire","501303","2023","10","11","0","0","0","0","0","4","1","0","0","0","0"
"White, Eli","642201","2023","14","17","1","1","0","0","0","7","2","1","0","0","0"
"Lopez, Irving","676761","2023","11","12","0","0","0","0","0","5","0","0","0","0","1"
"Soto, Livan","670869","2023","9","12","2","2","0","0","0","2","3","0","0","0","0"
"Almonte, Abraham","501659","2023","15","16","1","0","1","0","0","8","1","0","0","0","0"
"Stevenson, Cal","670276","2023","9","12","0","0","0","0","0","2","3","0","0","0","0"
"Kohlwey, Taylor","670128","2023","13","13","2","2","0","0","0","5","0","0","0","0","0"
"Pina, Manny","444489","2023","12","12","3","2","0","0","1","3","0","0","0","0","0"
"Pérez, Roberto","547379","2023","15","17","2","2","0","0","0","6","2","0","0","0","0"
"Bemboom, Anthony","621532","2023","11","13","2","2","0","0","0","2","2","0","0","0","0"
"Tromp, Chadwick","644433","2023","16","16","2","1","1","0","0","7","0","0","0","0","0"
"Wall, Forrest","657088","2023","13","15","6","3","2","0","1","4","2","0","0","0","0"
"Canario, Alexander","672744","2023","17","17","5","2","1","1","1","8","0","0","0","0","0"
"Crow-Armstrong, Pete","691718","2023","14","19","0","0","0","0","0","7","3","0","0","2","0"
"Kreidler, Ryan","668952","2023","18","18","2","2","0","0","0","7","0","0","0","0","0"
"Wilson, Weston","642215","2023","16","22","5","4","0","0","1","5","6","0","0","0","0"
"O'Keefe, Brian","657247","2023","19","21","2","0","2","0","0","7","2","0","0","0","0"
"Salazar, César","663967","2023","18","19","2","2","0","0","0","6","1","0","0","0","0"
"Rios, Edwin","621458","2023","28","34","2","0","1","0","1","16","5","1","0","0","0"
"Williams, Luke","663897","2023","19","19","1","1","0","0","0","7","0","0","0","0","0"
"Owings, Chris","572008","2023","25","25","4","4","0","0","0","12","0","0","0","0","0"
"Serven, Brian","661531","2023","23","23","3","2","1","0","0","10","0","0","0","0","0"
"Toro, Abraham","647351","2023","18","21","8","6","0","0","2","5","2","1","0","0","0"
"Gamel, Ben","592325","2023","15","15","3","2","1","0","0","2","0","0","0","0","0"
"Camargo, Johan","622666","2023","18","20","4","4","0","0","0","4","1","1","0","0","0"
"Capra, Vinny","681962","2023","18","21","3","2","1","0","0","5","2","0","0","1","0"
"Hummel, Cooper","669450","2023","23","26","2","1","1","0","0","9","2","1","0","0","0"
"Allen, Greg","656185","2023","23","28","5","2","1","1","1","10","2","2","0","1","0"
"Querecuto, Juniel","578570","2023","20","21","2","1","1","0","0","6","1","0","0","0","0"
"Lester, Josh","623507","2023","22","23","4","4","0","0","0","7","1","0","0","0","0"
"Diaz, Isan","656371","2023","24","26","1","1","0","0","0","9","2","0","0","0","0"
"Burdick, Peyton","680814","2023","33","37","6","3","2","0","1","18","3","1","0","0","0"
"Ellis, Drew","656403","2023","23","29","5","3","0","0","2","7","6","0","0","0","0"
"La Stella, Tommy","600303","2023","21","24","4","3","1","0","0","5","3","0","0","0","0"
"Hernández, Yonny","660634","2023","22","27","3","2","1","0","0","8","2","1","0","1","1"
"Smith-Njigba, Canaan","675986","2023","32","37","4","2","1","1","0","16","4","0","0","0","1"
"Garlick, Kyle","664247","2023","28","30","5","2","1","0","2","11","2","0","0","0","0"
"Guthrie, Dalton","656495","2023","24","28","4","3","1","0","0","7","3","1","0","0","0"
"Stowers, Kyle","669065","2023","30","33","2","2","0","0","0","12","3","0","0","0","0"
"Lukes, Nathan","664770","2023","26","31","5","3","1","1","0","9","4","0","0","0","1"
"Kennedy, Buddy","671083","2023","24","29","4","3","1","0","0","6","4","1","0","0","0"
"Meadows, Austin","640457","2023","21","21","5","4","1","0","0","3","0","0","0","0","0"
"Tena, José","677588","2023","31","34","7","5","2","0","0","13","3","0","0","0","0"
"Torrens, Luis","620443","2023","28","30","7","4","3","0","0","9","1","1","0","0","0"
"Madris, Bligh","676632","2023","26","30","4","3","1","0","0","7","4","0","0","0","0"
"Kjerstad, Heston","677008","2023","30","33","7","4","1","0","2","10","2","0","0","0","0"
"Lawlar, Jordan","691783","2023","31","34","4","4","0","0","0","11","2","1","0","0","0"
"Porter, Logan","682515","2023","31","38","6","4","1","0","1","11","5","1","0","1","0"
"Dalbec, Bobby","666915","2023","49","53","10","7","2","0","1","28","4","0","0","0","0"
"Fitzgerald, Tyler","666149","2023","32","34","7","3","2","0","2","10","2","0","0","0","0"
"Luciano, Marco","682617","2023","39","45","9","6","3","0","0","17","6","0","0","0","0"
"León, Sandy","506702","2023","41","44","6","4","2","0","0","20","1","1","0","1","0"
"Domínguez, Jasson","691176","2023","31","33","8","3","1","0","4","8","2","0","0","0","0"
"Hamilton, David","666152","2023","33","39","4","2","2","0","0","10","6","0","0","0","0"
"Rosario, Eguy","666703","2023","36","37","9","5","1","1","2","12","1","0","0","0","0"
"Trammell, Taylor","666211","2023","46","56","6","3","0","0","3","22","9","1","0","0","0"
"Adams, Jordyn","677941","2023","39","40","5","5","0","0","0","16","0","0","0","0","1"
"Millas, Drew","686452","2023","28","33","8","5","2","0","1","5","4","0","0","1","0"
"Paris, Kyren","677347","2023","40","46","4","4","0","0","0","17","4","1","0","1","0"
"Hopkins, TJ","686759","2023","41","44","7","7","0","0","0","17","2","1","0","0","0"
"Rutherford, Blake","666164","2023","35","36","6","6","0","0","0","10","1","0","0","0","0"
"Blankenhorn, Travis","663905","2023","31","37","5","4","0","0","1","6","6","0","0","0","0"
"Cruz, Oneil","665833","2023","32","40","8","6","1","0","1","8","7","0","0","0","1"
"Ortiz, Joey","687401","2023","33","34","7","6","1","0","0","9","0","0","0","0","1"
"Thomas, Cody","642137","2023","42","46","10","6","3","0","1","17","4","0","0","0","0"
"Bouchard, Sean","656248","2023","38","43","12","6","2","0","4","14","4","0","0","0","1"
"Caminero, Junior","691406","2023","34","36","8","6","1","0","1","8","2","0","0","0","0"
"Herrera, Iván","671056","2023","37","44","11","9","2","0","0","11","5","2","0","0","0"
"Martínez, J.P.","679881","2023","40","44","9","7","1","0","1","16","2","0","0","0","2"
"Montes, Coco","663796","2023","38","41","7","4","2","0","1","12","2","1","0","0","0"
"Huff, Sam","669087","2023","43","45","11","6","2","0","3","17","2","0","0","0","0"
"Lipcius, Andre","686531","2023","35","38","10","8","1","0","1","8","3","0","0","0","0"
"Phillips, Brett","621433","2023","63","71","11","7","1","0","3","36","8","0","0","0","0"
"Mercado, Óscar","640458","2023","31","32","9","6","3","0","0","4","1","0","0","0","0"
"Horwitz, Spencer","687462","2023","39","44","10","7","2","0","1","12","4","1","0","0","0"
"Kessinger, Grae","666197","2023","40","45","8","5","2","0","1","12","5","0","0","0","0"
"Cabbage, Trey","663550","2023","53","56","11","7","3","0","1","26","2","0","0","0","1"
"Haseley, Adam","656514","2023","36","39","8","6","2","0","0","8","3","0","0","0","0"
"Stevenson, Andrew","664057","2023","37","40","7","6","1","0","0","8","2","1","0","0","0"
"Johnson, Bryce","669369","2023","43","48","7","5","1","0","1","15","4","0","0","0","1"
"Young, Jared","676724","2023","43","47","8","3","0","3","2","13","3","1","0","0","0"
"Lewis, Kyle","641786","2023","51","54","8","5","2","0","1","21","3","0","0","0","0"
"Heineman, Tyler","623168","2023","38","47","9","7","1","1","0","8","8","1","0","0","0"
"Meckler, Wade","685133","2023","56","64","13","12","1","0","0","25","6","2","0","0","0"
"Eaton, Nate","681987","2023","53","56","4","4","0","0","0","21","2","1","0","0","0"
"Adell, Jo","666176","2023","58","62","12","5","3","1","3","25","4","0","0","0","0"
"Ruf, Darin","573131","2023","49","57","11","8","3","0","0","16","8","0","0","0","0"
"Alfaro, Jorge","595751","2023","48","52","7","2","4","0","1","15","2","2","0","0","0"
"DeLuca, Jonny","676356","2023","42","45","11","8","1","0","2","8","3","0","0","0","0"
"Lamb, Jake","571875","2023","51","54","11","8","1","0","2","15","3","0","0","0","0"
"Locastro, Tim","641796","2023","56","67","13","8","3","0","2","22","3","6","0","2","0"
"Hill, Derek","656537","2023","47","50","8","7","1","0","0","11","3","0","0","0","0"
"Hall, Darick","669742","2023","54","56","9","7","1","0","1","18","2","0","0","0","0"
"Ramos, Heliot","671218","2023","56","60","10","5","4","0","1","20","4","0","0","0","0"
"Vosler, Jason","613564","2023","62","65","10","4","2","1","3","25","3","0","0","0","0"
"Reyes, Franmil","614177","2023","59","65","11","9","0","0","2","24","4","0","0","0","2"
"Wade, Tyler","642180","2023","51","55","13","11","1","1","0","13","4","0","0","0","0"
"Pérez, Carlos","656024","2023","49","53","10","5","4","0","1","11","4","0","0","0","0"
"Thompson, Bubba","669352","2023","53","60","9","4","4","1","0","16","4","1","0","1","1"
"Vavra, Terrin","679631","2023","49","56","12","12","0","0","0","12","5","0","0","2","0"
"Carter, Evan","694497","2023","62","75","19","9","4","1","5","24","12","0","1","0","1"
"Hilliard, Sam","656541","2023","72","78","17","9","5","0","3","33","6","0","0","0","0"
"Cowser, Colton","681297","2023","61","77","7","5","2","0","0","22","13","2","0","0","1"
"Yepez, Juan","660766","2023","60","65","11","8","1","0","2","20","4","1","0","0","0"
"Mitchell, Garrett","669003","2023","65","73","16","10","2","1","3","26","7","0","0","0","1"
"Taylor, Samad","669392","2023","60","69","12","9","2","1","0","22","7","0","0","1","1"
"Voit III, Luke","572228","2023","68","74","15","12","3","0","0","27","4","2","0","0","0"
"Nido, Tomás","621512","2023","56","61","7","7","0","0","0","18","2","0","0","2","1"
"Florial, Estevan","664314","2023","61","71","14","10","3","1","0","20","7","2","0","0","1"
"Araúz, Jonathan","660620","2023","59","66","8","5","0","0","3","18","5","0","0","2","0"
"Frazier, Clint","640449","2023","66","76","13","11","1","1","0","23","10","0","0","0","0"
"Cordero, Franchy","614173","2023","69","71","13","5","2","0","6","25","2","0","0","0","0"
"Lee, Korey","686676","2023","65","70","5","3","1","0","1","20","5","0","0","0","0"
"Fermín, José","665877","2023","51","61","12","11","1","0","0","8","6","2","0","2","0"
"Motter, Taylor","600301","2023","76","82","13","10","3","0","0","31","5","1","0","0","0"
"Miller, Brad","543543","2023","56","67","12","7","4","0","1","11","10","0","0","0","1"
"Busch, Michael","683737","2023","72","81","12","7","3","0","2","27","8","0","0","0","1"
"Clement, Ernie","676391","2023","50","52","19","16","1","1","1","4","1","0","0","0","1"
"Mathias, Mark","664029","2023","62","72","14","12","2","0","0","15","10","0","0","0","0"
"Beaty, Matt","607461","2023","61","72","14","10","4","0","0","14","6","5","0","0","0"
"Goodman, Hunter","696100","2023","70","77","14","6","4","3","1","24","5","0","0","0","2"
"Capel, Conner","668843","2023","73","86","19","14","5","0","0","25","12","1","0","0","0"
"Rortvedt, Ben","666163","2023","68","79","8","5","1","0","2","19","11","0","0","0","0"
"Hensley, David","682073","2023","84","94","10","8","1","0","1","35","10","0","0","0","0"
"Myers, Dane","667472","2023","67","70","18","14","3","0","1","19","2","0","0","0","1"
"Dixon, Brandon","641525","2023","79","86","16","10","4","0","2","31","1","4","0","0","2"
"Mendick, Danny","664901","2023","65","69","12","8","3","0","1","15","4","0","0","0","0"
"Luplow, Jordan","656669","2023","77","90","16","11","3","0","2","27","12","1","1","0","0"
"Loftin, Nick","679845","2023","62","68","20","14","5","1","0","12","4","1","0","0","1"
"Ramos, Henry","592656","2023","74","86","18","14","3","1","0","21","11","1","0","0","0"
"Brosseau, Mike","670712","2023","73","78","15","9","2","0","4","20","4","1","0","0","0"
"Abreu, Wilyer","677800","2023","76","85","24","16","6","0","2","23","9","0","0","0","0"
"Brantley Jr., Michael","488726","2023","54","57","15","11","2","0","2","2","2","0","0","0","1"
"Pereira, Everson","677592","2023","93","103","14","10","4","0","0","40","8","2","0","0","0"